item, itemLabel
http://www.wikidata.org/entity/Q65086254, Luke Alvez
http://www.wikidata.org/entity/Q65088704, Fabian Stankowicz
http://www.wikidata.org/entity/Q72223085, Monica Chang
http://www.wikidata.org/entity/Q72223139, Nanako Dojima
http://www.wikidata.org/entity/Q85316461, Shiji Niangniang
http://www.wikidata.org/entity/Q85756770, Diana Marburg
http://www.wikidata.org/entity/Q92482596, Ange Godard
http://www.wikidata.org/entity/Q101026158, Harlee Santos
http://www.wikidata.org/entity/Q104313884, Vette
http://www.wikidata.org/entity/Q104532711, Keeve Trennis
http://www.wikidata.org/entity/Q3276659, Magdalena
http://www.wikidata.org/entity/Q3280567, Major Matt Mason
http://www.wikidata.org/entity/Q3303591, Bartje
http://www.wikidata.org/entity/Q3368813, Patof
http://www.wikidata.org/entity/Q3546737, Gosamyr
http://www.wikidata.org/entity/Q3613528, Amadeus Arkham
http://www.wikidata.org/entity/Q3686483, The Coachman
http://www.wikidata.org/entity/Q3705644, Denzel Crocker
http://www.wikidata.org/entity/Q3796793, Cartagia
http://www.wikidata.org/entity/Q3958958, Shadow Moon
http://www.wikidata.org/entity/Q6729338, Maestro
http://www.wikidata.org/entity/Q6112605, Jack Frost
http://www.wikidata.org/entity/Q6125805, Jal Fazer
http://www.wikidata.org/entity/Q6153737, Tulevieja
http://www.wikidata.org/entity/Q6177174, Jemima Shore
http://www.wikidata.org/entity/Q6198436, Jim Taggart
http://www.wikidata.org/entity/Q6281576, Joseph Blumenthal
http://www.wikidata.org/entity/Q6304667, Judy of the Jungle
http://www.wikidata.org/entity/Q6376476, Katherine Mary Flannigan
http://www.wikidata.org/entity/Q6396496, Kevin Hiatt
http://www.wikidata.org/entity/Q6406039, Kihva Värdi
http://www.wikidata.org/entity/Q6434829, Kovalan
http://www.wikidata.org/entity/Q6522923, Lenny Burrano
http://www.wikidata.org/entity/Q6696131, Lucas Cross
http://www.wikidata.org/entity/Q7514002, Sil
http://www.wikidata.org/entity/Q6779988, Mary Katherine Gallagher
http://www.wikidata.org/entity/Q6780654, Mary Russell
http://www.wikidata.org/entity/Q6794589, Max Blum
http://www.wikidata.org/entity/Q6829053, Michael Caesar
http://www.wikidata.org/entity/Q8075219, Zuma
http://www.wikidata.org/entity/Q6881751, Mitică
http://www.wikidata.org/entity/Q6900057, Monica Rawling
http://www.wikidata.org/entity/Q6928879, Mr. Mackay
http://www.wikidata.org/entity/Q6963089, Nancy Woods
http://www.wikidata.org/entity/Q7086716, Olga da Polga
http://www.wikidata.org/entity/Q7599727, Stanley Kowalski
http://www.wikidata.org/entity/Q7244258, Prince Thun
http://www.wikidata.org/entity/Q7259561, Puloman
http://www.wikidata.org/entity/Q7299204, Raymond Vecchio
